ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
23810,JB140548,02/04/2018 01:36:00 AM,117XX S SANGAMON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0524,005,34,53,01A,1172100,1827003,2018,02/11/2018 03:57:41 PM,41.68073915,-87.645661144,"(41.68073915, -87.645661144)"
23811,JB141441,02/05/2018 01:10:00 AM,118XX S INDIANA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,false,false,0532,005,9,53,01A,1179707,1826280,2018,02/12/2018 03:49:14 PM,41.678585145,-87.617837834,"(41.678585145, -87.617837834)"
23812,JB142661,02/06/2018 04:10:00 AM,062XX S MAY ST,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,0712,007,16,68,01A,1169720,1863456,2018,02/13/2018 03:58:53 PM,41.78082323,-87.653318937,"(41.78082323, -87.653318937)"
23813,JB143932,02/07/2018 09:23:00 AM,014XX S KENNETH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,1011,010,24,29,01A,1146951,1892767,2018,02/14/2018 03:52:17 PM,41.861720639,-87.736048391,"(41.861720639, -87.736048391)"
23814,JB143932,02/07/2018 09:23:00 AM,014XX S KENNETH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,1011,010,24,29,01A,1146951,1892767,2018,02/14/2018 03:52:17 PM,41.861720639,-87.736048391,"(41.861720639, -87.736048391)"
23815,JB145915,02/08/2018 08:43:00 PM,006XX N LARAMIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,1532,015,28,25,01A,1141583,1903680,2018,02/15/2018 03:50:23 PM,41.891768093,-87.755483944,"(41.891768093, -87.755483944)"
23834,JB160133,02/22/2018 09:22:00 AM,027XX S AVERS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,1031,010,22,30,01A,1151152,1885454,2018,03/01/2018 03:54:55 PM,41.841571637,-87.720818596,"(41.841571637, -87.720818596)"
23835,JB161360,02/22/2018 03:35:00 PM,112XX S DR MARTIN LUTHER KING JR DR,0110,HOMICIDE,FIRST DEGREE MURDER,PARK PROPERTY,true,false,0531,005,9,49,01A,1180913,1830483,2018,03/01/2018 03:54:55 PM,41.690091209,-87.61329487,"(41.690091209, -87.61329487)"
23836,JB161698,02/22/2018 06:39:00 PM,070XX S MORGAN ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0733,007,17,68,01A,1170861,1858101,2018,03/01/2018 03:54:55 PM,41.766103626,-87.64929197,"(41.766103626, -87.64929197)"
23838,JB163448,02/24/2018 08:23:00 AM,066XX S MINERVA AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,0321,003,5,42,01A,1185025,1861230,2018,03/03/2018 03:54:43 PM,41.774369057,-87.597278237,"(41.774369057, -87.597278237)"
23839,JB164209,02/24/2018 09:32:00 PM,087XX S MICHIGAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0632,006,6,44,01A,1178677,1847115,2018,03/03/2018 03:54:43 PM,41.735782636,-87.62097712,"(41.735782636, -87.62097712)"
23840,JB164227,02/24/2018 10:21:00 PM,011XX W 65TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0724,007,16,68,01A,1169618,1861691,2018,03/03/2018 03:54:43 PM,41.77598207,-87.653744026,"(41.77598207, -87.653744026)"
23841,JB164505,02/25/2018 03:56:00 AM,000XX N MAYFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1513,015,29,25,01A,1137161,1899725,2018,03/04/2018 03:57:39 PM,41.880995627,-87.771819255,"(41.880995627, -87.771819255)"
